lib,trial,n,threads,us_per_n,cpu_time,real_time
ntl-feea,0,7,4,30.8495,0.00,00.01
ntl-feea,0,7,8,32.7141,0.00,00.01
ntl-feea,0,7,16,30.8496,0.00,00.01
ntl-feea,0,8,1,41.3098,0.01,00.01
ntl-feea,0,8,2,35.0928,0.01,00.01
ntl-feea,0,8,4,35.6616,0.00,00.01
ntl-feea,0,8,8,38.1141,0.01,00.01
ntl-feea,0,8,16,34.7646,0.01,00.02
ntl-feea,0,9,1,39.4874,0.02,00.02
ntl-feea,0,9,2,39.729,0.02,00.02
ntl-feea,0,9,4,38.0365,0.02,00.02
ntl-feea,0,9,8,39.0688,0.02,00.02
ntl-feea,0,9,16,39.9293,0.02,00.03
ntl-feea,0,10,1,39.3757,0.03,00.04
ntl-feea,0,10,2,37.7732,0.04,00.04
ntl-feea,0,10,4,35.1778,0.03,00.04
ntl-feea,0,10,8,55.5696,0.07,00.07
ntl-feea,0,10,16,47.6846,0.06,00.06
ntl-feea,0,11,1,39.0333,0.08,00.08
ntl-feea,0,11,2,36.26,0.08,00.08
ntl-feea,0,11,4,42.0223,0.11,00.10
ntl-feea,0,11,8,66.1675,0.16,00.14
ntl-feea,0,11,16,56.3386,0.15,00.13
ntl-feea,0,12,1,46.7611,0.21,00.21
ntl-feea,0,12,2,40.3586,0.19,00.17
ntl-feea,0,12,4,54.3729,0.30,00.23
ntl-feea,0,12,8,55.4939,0.33,00.25
ntl-feea,0,12,16,63.8226,0.36,00.28
ntl-feea,1,6,1,62.5662,0.01,00.02
ntl-feea,1,6,2,42.3748,0.00,00.01
ntl-feea,1,6,4,40.3155,0.01,00.01
ntl-feea,1,6,8,40.279,0.01,00.01
ntl-feea,1,6,16,35.4709,0.00,00.01
ntl-feea,1,7,1,33.4947,0.01,00.01
ntl-feea,1,7,2,39.194,0.00,00.01
ntl-feea,1,7,4,33.2223,0.01,00.01
ntl-feea,1,7,8,32.0226,0.01,00.01
ntl-feea,1,7,16,32.7331,0.01,00.01
ntl-feea,1,8,1,36.5102,0.01,00.01
ntl-feea,1,8,2,37.1014,0.01,00.01
ntl-feea,1,8,4,37.5144,0.01,00.01
